source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence,in_core_schema
GM,Company,PARTNERED_WITH,Tesla,Company,r03271::c0000,2023-06-16 14:54:00,GM joins Ford in shifting its electric vehicles to work with about 12000 of Tesla's roughly 17000 chargers,0.8,True
Ford,Company,PARTNERED_WITH,Tesla,Company,r03271::c0000,2023-06-16 14:54:00,GM joins Ford in shifting its electric vehicles to work with about 12000 of Tesla's roughly 17000 chargers,0.8,True
HPE,Company,USES,supercomputers,Technology,r03289::c0000,2023-06-21 06:32:00,HPE will use its experience in supercomputers to offer a service specifically for what are called large language models the technology behind services like ChatGPT.,0.9,True
IBM,Company,ACQUIRED,Red Hat,Company,r03302::c0000,2023-04-15 10:25:00,With the mega-acquisition of Red Hat in 2019 IBM's hybrid cloud platform is tough to beat.,0.9,True
Brad Chason,Person,WORKED_AT,Jackson Healthcare,Company,r03307::c0000,2023-05-08 19:56:00,Jackson Healthcare Names Brad Chason Senior Vice President of Information Technology.,1.0,True
Countdown,Company,LAUNCHED,Milkrun,Product,r03324::c0000,2023-07-25 00:16:00,Countdown launches failed grocery delivery service Milkrun in New Zealand powered by Uber technology.,1.0,False
Milkrun,Product,POWERS,Uber technology,Technology,r03324::c0000,2023-07-25 00:16:00,powered by Uber technology.,1.0,False
Uber technology,Technology,ENABLES,Uber's drivers,Person,r03324::c0000,2023-07-25 00:16:00,with the order fulfilment and delivery powered by Uber technology and Uber's drivers.,1.0,False
IBM,Company,COMMITTED_TO,White House,Organization,r03330::c0000,2023-09-12 10:00:00,IBM Adobe Salesforce and five more tech companies are making voluntary safety security and transparency commitments to the White House related to their use of artificial intelligence.,1.0,False
Adobe,Company,COMMITTED_TO,White House,Organization,r03330::c0000,2023-09-12 10:00:00,IBM Adobe Salesforce and five more tech companies are making voluntary safety security and transparency commitments to the White House related to their use of artificial intelligence.,1.0,False
Salesforce,Company,COMMITTED_TO,White House,Organization,r03330::c0000,2023-09-12 10:00:00,IBM Adobe Salesforce and five more tech companies are making voluntary safety security and transparency commitments to the White House related to their use of artificial intelligence.,1.0,False
OpenAI,Company,CITED_SOURCE,White House,Organization,r03330::c0000,2023-09-12 10:00:00,The pledges are similar to those made in July by OpenAI.,1.0,False
Amazon,Company,PARTNERED_WITH,Hugging Face,Company,r03373::c0000,2023-02-21 21:54:00,Amazon’s cloud unit partners with Hugging Face maker of ChatGPT rival.,1.0,True
Google Cloud,Company,LAUNCHED,Llama 2,Product,r03395::c0000,2023-08-29 18:07:00,Google Cloud is announcing availability of Llama 2,1.0,False
Google Cloud,Company,LAUNCHED,Code Llama,Product,r03395::c0000,2023-08-29 18:07:00,Google Cloud is announcing availability of Code Llama from Meta,1.0,False
Google Cloud,Company,PREANNOUNCED,Claude 2,Product,r03395::c0000,2023-08-29 18:07:00,pre-announcing Claude 2 from Anthropic,0.9,False
Nvidia,Company,POWERS,artificial intelligence (AI) services,Technology,r03432::c0000,2023-02-22 23:36:00,"Nvidia's CEO said use of its chips to power artificial intelligence (AI) services like chatbots had '""gone through the roof in the last 60 days.'""",0.9,False
H2O.ai,Company,LAUNCHED,H2O AI Cloud,Product,r03498::c0000,2023-04-13 16:02:00,H2O.ai today announced the launch of H2O AI Cloud as a pre-built solution for the Manufacturing Data Cloud launched by Snowflake the Data Cloud company.,1.0,False
Snowflake,Company,LAUNCHED,Manufacturing Data Cloud,Product,r03498::c0000,2023-04-13 16:02:00,the Manufacturing Data Cloud launched by Snowflake the Data Cloud company.,1.0,False
Microsoft,Company,INVESTED_IN,Climate Innovation Fund,Product,r03609::c0000,2023-03-01 23:57:00,Microsoft announced its $1 billion Climate Innovation Fund,1.0,True
Amazon,Company,INVESTED_IN,Climate Pledge Fund,Product,r03609::c0000,2023-03-01 23:57:00,Amazon unveiled its $2 billion Climate Pledge Fund,1.0,True
HCLTech,Company,PARTNERED_WITH,ODP Corporation,Company,r03711::c0000,2023-01-06 14:16:00,HCLTech and The ODP Corporation Announce Agreement for IT and Digital Transformation Services,1.0,True
Intel,Company,PLANNED_RELEASE,3D V-Cache Tech,Technology,r03714::c0000,2023-09-19 22:38:00,The company plans to use the chip-stacking tech for Intel processors and offer it to third-party customers contracting with Intel's foundry business.,0.8,False
Intel,Company,OFFERS,3D V-Cache Tech,Technology,r03714::c0000,2023-09-19 22:38:00,The company plans to use the chip-stacking tech for Intel processors and offer it to third-party customers contracting with Intel's foundry business.,0.8,False
Capital Square Basil Technology,Company,FOUNDED,Technology Services Dedicated Funds,Product,r03787::c0000,2023-01-20 08:47:00,The Transaction is believed to have established one of the largest technology services dedicated funds in Asia,0.5,True
Dell,Company,INNOVATED_IN,APEX File Storage for AWS,Product,r03880::c0000,2023-05-24 19:57:00,this helps discover issues early enough for them to be fixed as showcased by APEX File Storage for AWS,0.8,False
Gavin Bashar,Person,WORKED_AT,Tunstall Healthcare,Organization,r03894::c0000,2023-02-08 09:19:00,"Gavin Bashar, UK Managing Director at Tunstall Healthcare",0.9,True
Rajnath Singh,Person,WORKED_AT,DIAT,Organization,r03914::c0000,2023-05-15 08:43:14,As Defence Minister Rajnath Singh is the Chancellor of the DIAT,1.0,True
Information Services Corporation,Company,INVESTED_IN,TSE:ISV,Company,r03952::c0000,2023-04-08 12:44:00,Those who invested in Information Services (TSE:ISV) three years ago are up 74%.,0.7,True
Qualcomm,Company,PARTNERED_WITH,MTM Technology,Technology,r04002::c0000,2022-12-02 15:56:00,Qualcomm in Partnership With MTM Technology and Campina Grande's City Hall Launches Platform for Supporting Pregnant Women.,0.8,True
Dell Technologies Inc,Company,LAUNCHED,Dell NativeEdge,Product,r04407::c0000,2023-05-24 02:49:00,the release of Dell NativeEdge.,1.0,False
Hewlett Packard Enterprise,Company,ACQUIRED,Axis Security,Company,r04762::c0000,2023-03-02 22:32:00,it entered into a definitive agreement to acquire Axis Security,1.0,True
Hewlett Packard Enterprise,Company,DEVELOPED,Secure Access Services Edge (SASE),Technology,r04762::c0000,2023-03-02 22:32:00,to offer a unified Secure Access Services Edge (SASE) solution,1.0,True
